关键词,用户名,发布时间,来自,博文,转发数,评论数,收藏数,页面网址
封闭管理,BRTV北京新闻,"
                        24分钟前
                        ",微博视频号,"
                    【朝阳区石门新居35号院和秀水园社区部分解除封闭管理】3月31日清晨，朝阳区南磨房乡石门社区石门新居35号院解除管控，目前社区仍有2个单元处于封控中。 LBRTV北京新闻的微博视频 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,嘿A哥,26分钟前 转赞人数超过20,iPhone客户端,#珠海疫情##珠海多所高校强制封闭管理##珠海封校# 为了乌纱帽下死命令了，大学已经没救了 ​                , 0, 1,26,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,果子ManGo,"
                        25分钟前
                        ",长春抗疫求助超话,长春抗疫求助经开区会展街道芜湖社区大众中央公园小区4栋于3月27日封闭管理，至今已经6天，却无人上门给居民做核酸检测，确诊病例已于3月30日被接走治疗。整栋居民人心惶惶，安全无法得到保障。核酸也没有人给做甚至自测盒也没有，根本不知道还有没有其他确诊！经开区其他小区封控单元却办事效 ​  展开c, 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,谁的小考拉0728,"
                        25分钟前
                        ",HUAWEI P30,#西北农林科技大学一刀封闭式管理#学校校又整活了。懒政懒政懒政！都别来嗷#西安##一刀切##教育部反对高校一刀切封闭管理##非防控重点地区只抓防控是懒政# ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,Aileen_丽sz,"
                        29分钟前
                        ",iPhone客户端,"
                    前两周封闭式管理都快自闭了 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,周口职业技术学院,"
                        30分钟前
                        ",周口职业技术学院超话,"
                    大家好，近日微博上对学校疫情背景下的封闭管理工作的讨论以及意见建议，我们已收集整理。学校高度重视学生们的合理诉求，校领导已于今天开始轮值接待学生来访，畅通学生诉求沟通反馈渠道。对同学们提出的确实可行的相关建议予以采纳，切实解决学生急难愁盼。     欢迎大家留下宝贵的建议，感谢大家对 ​  展开c", 2, 23,86,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,贵溪发布,"
                        30分钟前
                        ",微博视频号,#我身边的大白们#【#淮南消防员化身大白助力防疫#】淮南，疫情之下，无数平凡人挺身而出，走向抗疫一线，火焰蓝就是这其中的一员。3月31日下午，@淮南消防 山南大队派出5车30名消防救援人员前往市级隔离点开展提前消杀和物资搬运，持续作业6个小时，共搬运物质1000余件套，消杀隔离区域12000余平方米。 ​  展开c, 0, 1,2,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,李吃不吃油饼o,"
                        30分钟前
                        ",长春理工大学超话,长春理工大学2022年3月10日，随着吉林省疫情防控形势的日益严峻，学校进入封闭管理状态，全体教职工居家办公、线上授课。就在此时，机关党委志愿者服务队正在火速集结，第一批32名志愿者收拾简单的行装，嘱咐好自己的妻儿老小，第一时间进入校园，奔赴抗疫一线。 ​                , 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,田道丰收,"
                        31分钟前
                        ",HUAWEI Mate 30 5G,"
                    这个封闭管理就跟闹着玩儿似的 2上海 ​                ", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
封闭管理,浚县融媒体中心,"
                        31分钟前
                        ",微博视频号,"
                    关于清明期间暂停公墓、历史安葬点现场祭扫服务的通告#浚县# 鉴于目前疫情防控形势严峻，为避免清明节期间因集中祭扫活动引发输入性和聚集性疫情，保障人民群众生命安全和身体健康，暂停清明期间现场祭扫服务。现将有关事项通告如下：一、全县各公墓、历史集中安葬点等采取临时封闭管理措施，清明节 ​  展开c", 0, 评论,0,https://s.weibo.com/weibo?q=%E5%B0%81%E9%97%AD%E7%AE%A1%E7%90%86&page=2
